aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
691142,KIRAN COLD DRINKS,OBC,NA,NA,Proprietary,NA,"DHANI SUNARAWALI, VILL KHEJROLI, TEH COMU, DIST JAIPUR,RAJASTHAN",RAJASTHAN,JAIPUR,303803,26/04/2016,Services,Small, 1) 56302,2,15.00,JAIPUR RURAL,11/05/2016,102
691323,M\S ANNAPURNA FABRICS,General,NA,NA,Proprietary,NA,"E-242, IIIrd PHASE, INDUSTRIAL AREA, BALOTRA",RAJASTHAN,BARMER,344022,02/05/2003,Manufacturing,Small, 1) 13139,10,30.00,BARMER,11/05/2016,90
691494,SHRI MARUTI NANDAN ENTERPRISES PVT LTD,General,Female,No,Private Limited Company, 1) F-592 RIICO INDUSTRIAL AREA TEHSIL CHOMU JAIPURJAIPURRAJASTHAN; 2) F-43 RIICO INDUSTRIAL AREA TEHSIL CHOMU JAIPURJAIPURRAJASTHAN,F-43 RIICO INDUSTRIAL AREA MANDA TEHSIL CHOMU  JAIPUR 303801 RAJASTHAN,RAJASTHAN,JAIPUR,303801,15/06/2009,Manufacturing,Micro, 1) 22209,10,24.00,JAIPUR RURAL,11/05/2016,102
691560,Laxmi Enterpirses,OBC,NA,NA,Proprietary,NA,"Indrapuri Colony, Jalore",RAJASTHAN,JALORE,343001,01/09/2015,Services,Small, 1) 46524,2,15.00,JALORE,11/05/2016,104
691674,DREAM TECHNOLOGY,General,NA,NA,Proprietary,NA,A-19.3RD FLOOR GTC MALL AJMERI GATE MI ROAD,RAJASTHAN,JAIPUR,302001,06/11/2015,Services,Micro, 1) 62099,1,3.00,JAIPUR URBAN,11/05/2016,102
691707,M/s Ayaaz Stone,General,NA,NA,Proprietary,NA,"Village &amp; Post Suket, Teh. Ramganjmandi, Distt. Kota",RAJASTHAN,KOTA,306459,11/05/2016,Manufacturing,Micro, 1) 23960,8,15.00,KOTA,11/05/2016,109
691804,SAGAR SPEED UDYOG,OBC,NA,NA,Proprietary,NA,"W N 28, SIDHMUKH MOR, RAJGARH",RAJASTHAN,CHURU,331023,11/05/2016,Manufacturing,Micro, 1) 24319,2,2.00,CHURU,11/05/2016,96
691880,METALLIZING EQUIPMENT CO. PVT. LTD.,General,NA,NA,Private Limited Company,NA,"E-101, M.I.A., PHASE II, BASNI, JODHPUR",RAJASTHAN,JODHPUR,342005,16/06/1975,Manufacturing,Medium, 1) 28230,100,697.00,JODHPUR,11/05/2016,107
691955,Universal Services,OBC,NA,NA,Proprietary,NA,"B-35 Ganpati  Mall,Samtel Road,Bhiwadi",RAJASTHAN,ALWAR,301019,15/05/2015,Services,Micro, 1) 78100,7,2.00,BHIWADI,11/05/2016,87
691978,SHRI SANWARIYA ENGINEERING &amp; TECHNOLOGY,General,NA,NA,Proprietary,NA,"PLOT NO. H-803, RIICO INDUSTRIAL AREA CHOPANKI, BHIWADI, DISTT. ALWAR RAJASTHAN",RAJASTHAN,ALWAR,301707,06/04/2016,Manufacturing,Micro, 1) 22209,10,10.00,BHIWADI,11/05/2016,87
