aid,enterprisename,socialcategory,gender,ph,organisationtype,plantlocation,address,state,district,pincode,commmencedate,majoractivity,enterprisetype,nic5digitcode,totalemp,investmentcost,dic_name,registrationdate,lg_dist_code
781664,M/s ARORA INDUSTRY,General,NA,NA,Partnership,NA,"OPP. OMAXE CITY, BATHINDA ROAD, GONIANA MANDI-151001",PUNJAB,BATHINDA,151001,28/08/2014,Manufacturing,Small, 1) 13111,25,99.00,BATHINDA,29/05/2016,28
782987,Snow White Woollen Mills Pvt Ltd,General,NA,NA,Public Limited Company,NA,"K-2, Textile Colony, Industrial Area A",PUNJAB,LUDHIANA,141003,19/08/1994,Manufacturing,Micro, 1) 13912,8,6.00,LUDHIANA,30/05/2016,36
783071,MVT International,General,NA,NA,Proprietary,NA,"K-2, Textile Colony, Industrial Area A",PUNJAB,LUDHIANA,141003,05/05/2005,Services,Micro, 1) 46411,3,2.00,LUDHIANA,30/05/2016,36
783355,M/s Shiva Cold Store,General,NA,NA,Proprietary,NA,"C-187-88, Industrial Focal Point Patiala",PUNJAB,PATIALA,147001,09/04/1997,Services,Micro, 1) 52101,50,5.00,PATIALA,30/05/2016,41
783660,TECHIE SAGE,General,NA,NA,Proprietary,NA,TECHIE SAGEDHALIWAL COMPLEX NH - 95 MULLANPUR DAKHAMULLANPUR,PUNJAB,LUDHIANA,141101,13/03/2016,Services,Small, 1) 85500,10,13.00,LUDHIANA,30/05/2016,36
783831,D.D. PROCESSORS,General,NA,NA,Proprietary,NA,"# 1250/1, SARDAR NAGAR, BASTI JOHDEWAL.",PUNJAB,LUDHIANA,141008,07/06/2011,Services,Micro, 1) 13139,7,8.00,LUDHIANA,30/05/2016,36
783898,CONVENIENT PRINTERS,General,NA,NA,Proprietary,NA,"7/2, MUBARAKPUR SHEKHE OLD, HOSHIARPUR ROAD,",PUNJAB,JALANDHAR,144025,24/11/1997,Manufacturing,Small, 1) 18112; 2) 18119,7,40.00,JALANDHAR,30/05/2016,34
784124,JOSHI  SPORTS KAUHRIAN,General,NA,NA,Partnership,NA,"VILLAGE KAUHRIAN, TEHSIL SUNAM",PUNJAB,SANGRUR,148035,01/04/2014,Manufacturing,Micro, 1) 14309,2,2.00,MALERKOTLA,30/05/2016,43
784435,ROYAL FOUNDRY UDYOG,General,NA,NA,Proprietary,NA,"3/3, MUBARAKPUR SHEIKHE INDUSTRIAL AREA, OLD HOSHIARPUR ROAD",PUNJAB,JALANDHAR,144025,02/01/2006,Manufacturing,Small, 1) 28132; 2) 24311,18,40.00,JALANDHAR,30/05/2016,34
785127,ADARSH ENTERPRISES,General,NA,NA,Proprietary,NA,"MUBARAKPUR SHEIKHE, OLD HOSHIARPUR ROAD",PUNJAB,JALANDHAR,144025,21/08/1989,Manufacturing,Micro, 1) 22199,5,4.00,JALANDHAR,30/05/2016,34
